DEA2014,National identity: British only (%),National identity: Irish only (%),Irish preference,Matching name
AIRPORT,41.53,24.11,36.73%,
ANTRIM,51.59,8.83,14.61%,Antrim
BALLYCLARE,63.33,2.33,3.55%,
DUNSILLY,41.56,21.31,33.90%,
GLENGORMLEY URBAN,43.65,20.21,31.65%,
MACEDON,57.27,8.57,13.02%,
THREE MILE WATER,58.11,6.27,9.74%,
ARMAGH,22.43,43.32,65.89%,Armagh
BANBRIDGE,49.12,15.4,23.87%,Banbridge
CRAIGAVON,38.96,22.54,36.65%,
CUSHER,55.88,14.03,20.07%,
LAGAN RIVER,59.63,6.03,9.18%,
LURGAN,30.82,33.4,52.01%,Lurgan
PORTADOWN,47.55,16.53,25.80%,Portadown
BALMORAL,37.94,26.75,41.35%,
BLACK MOUNTAIN,8.64,66.84,88.55%,
BOTANIC,28.58,27.77,49.28%,
CASTLE,35.92,30.82,46.18%,
COLLIN,12.59,60.95,82.88%,
COURT,49.03,25.69,34.38%,
LISNASHARRAGH,45.7,16.14,26.10%,
OLDPARK,30.34,39.16,56.35%,
ORMISTON,57.18,5.6,8.92%,
TITANIC,51,10.9,17.61%,
BALLYMONEY,52,13.91,21.10%,
BANN,49.73,16.46,24.87%,
BENBRADAGH,27.75,39.65,58.83%,
CAUSEWAY,53.39,9.74,15.43%,
COLERAINE,54.27,7.42,12.03%,Coleraine
LIMAVADY,46.14,18.28,28.38%,
THE GLENS,26.78,35.49,56.99%,
BALLYARNETT,6.15,68.39,91.75%,
DERG,31.8,33.12,51.02%,
FAUGHAN,34.63,32.03,48.05%,
FOYLESIDE,6.76,66.19,90.73%,
SPERRIN,24.17,41.67,63.29%,
THE MOOR,6.75,69.47,91.14%,
WATERSIDE,39.09,30.08,43.49%,
ENNISKILLEN,35.5,27.14,43.33%,
ERNE EAST,27.76,39.08,58.47%,
ERNE NORTH,39.56,26.6,40.21%,
ERNE WEST,23.69,42.55,64.24%,
MID TYRONE,20.44,45.42,68.96%,
OMAGH,25.18,32.59,56.41%,Omagh
WEST TYRONE,28.37,35.86,55.83%,
CASTLEREAGH EAST,64.11,2.19,3.30%,
CASTLEREAGH SOUTH,38.44,22.67,37.10%,
DOWNSHIRE EAST,58.45,7.04,10.75%,
DOWNSHIRE WEST,57.36,7.15,11.08%,
KILLULTAGH,46.66,18.44,28.33%,
LISBURN NORTH,51.81,12.43,19.35%,Lisburn
LISBURN SOUTH,57.45,6.8,10.58%,
BALLYMENA,52.11,10.24,16.42%,Ballymena
BANNSIDE,60.81,8.59,12.38%,
BRAID,61.17,7.55,10.99%,
CARRICK CASTLE,62.84,2.95,4.48%,
COAST ROAD,54.37,10.46,16.13%,
KNOCKAGH,63.8,2.77,4.16%,
LARNE LOUGH,59.96,4.35,6.76%,Larne
CARNTOGHER,21.22,46.38,68.61%,
CLOGHER VALLEY,34.4,32.7,48.73%,
COOKSTOWN,32.25,29.69,47.93%,
DUNGANNON,28.27,26.6,48.48%,Dungannon
MAGHERAFELT,35.17,29.24,45.40%,
MOYOLA,28.49,38.07,57.20%,
TORRENT,15.52,48.58,75.79%,
CROTLIEVE,12.98,51.94,80.01%,
DOWNPATRICK,22.64,37.31,62.24%,
NEWRY,9.3,53.92,85.29%,Newry
ROWALLANE,49.7,12.97,20.70%,
SLIEVE CROOB,30.36,30.76,50.33%,
SLIEVE GULLION,12.71,59.52,82.40%,
THE MOURNES,35.04,28.94,45.23%,
ARDS PENINSULA,53.91,9.55,15.05%,
BANGOR CENTRAL,55.9,4.46,7.39%,Bangor
BANGOR EAST AND DONAGHADEE,61.24,3.46,5.35%,
BANGOR WEST,56.23,5.48,8.88%,
COMBER,61.56,3.07,4.75%,
HOLYWOOD AND CLANDEBOYE,51.79,6.99,11.89%,
NEWTOWNARDS,62.01,2.86,4.41%,Newtownards
